board id	file id	design	level	batch position	accuracy	target	lag to typing	lag to description	reaction time	n tokens	n adjectives	n adverbs	n nouns
173	2422.jsonl	no_feedback	hard	1	1	I	-1	90	10	14	2	0	3
172	2422.jsonl	no_feedback	hard	2	1	Z	-1	64	15	16	2	0	4
198	2422.jsonl	no_feedback	hard	3	1	Y	-1	68	20	15	3	0	3
115	2422.jsonl	no_feedback	hard	4	1	W	-1	43	16	14	1	0	4
248	2422.jsonl	no_feedback	medium	5	0	Y	-1	48	25	10	0	0	4
171	2422.jsonl	no_feedback	hard	6	1	F	-1	31	8	8	1	1	2
284	2422.jsonl	no_feedback	medium	7	1	X	-1	20	10	9	0	0	3
225	2422.jsonl	no_feedback	medium	8	1	V	-1	24	16	9	0	0	2
290	2422.jsonl	no_feedback	medium	9	1	X	-1	20	6	8	1	0	2
105	2422.jsonl	no_feedback	hard	10	1	U	-1	21	9	9	1	0	3
187	2422.jsonl	no_feedback	hard	11	1	F	-1	11	4	4	2	0	1
96	2422.jsonl	no_feedback	easy	12	1	V	-1	17	5	7	1	1	2
80	2422.jsonl	no_feedback	easy	13	1	Y	-1	14	16	7	1	0	3
87	2422.jsonl	no_feedback	easy	14	1	I	-1	7	2	4	2	0	1
71	2422.jsonl	no_feedback	easy	15	1	Z	-1	8	94	3	1	0	1
208	2422.jsonl	no_feedback	medium	16	1	L	-1	12	6	6	1	0	2
44	2422.jsonl	no_feedback	easy	17	1	U	-1	8	2	4	1	0	2
99	2422.jsonl	no_feedback	easy	18	1	L	-1	7	2	4	0	0	1
162	2422.jsonl	no_feedback	hard	19	1	Z	-1	13	5	8	2	0	3
79	2422.jsonl	no_feedback	easy	20	1	P	-1	20	6	6	1	0	2
206	2422.jsonl	no_feedback	medium	21	1	X	-1	12	4	7	0	0	2
133	2422.jsonl	no_feedback	hard	22	1	P	-1	17	6	6	1	0	2
23	2422.jsonl	no_feedback	easy	23	1	L	-1	8	7	5	0	0	2
246	2422.jsonl	no_feedback	medium	24	1	W	-1	7	2	5	1	0	2
